Date, Open, High, Low, Close
05/13/21, 394.33, 389.01, 389.01, 389.01
05/12/21, 394.09, 394.33, 394.33, 394.33
05/11/21, 404.45, 394.09, 394.09, 394.09
05/10/21, 404.65, 404.45, 404.45, 404.45
05/07/21, 397.15, 404.65, 404.65, 404.65
05/06/21, 395.24, 397.15, 397.15, 397.15
05/05/21, 382.51, 395.24, 395.24, 395.24
05/04/21, 382.43, 382.51, 382.51, 382.51
05/03/21, 371.60, 382.43, 382.43, 382.43
04/30/21, 381.98, 371.60, 371.60, 371.60
04/29/21, 377.80, 381.98, 381.98, 381.98
04/28/21, 365.57, 377.80, 377.80, 377.80
04/27/21, 361.03, 365.57, 365.57, 365.57
04/26/21, 358.74, 361.03, 361.03, 361.03
04/23/21, 355.42, 358.74, 358.74, 358.74
04/22/21, 360.50, 355.42, 355.42, 355.42
04/21/21, 355.26, 360.50, 360.50, 360.50
04/20/21, 364.98, 355.26, 355.26, 355.26
04/19/21, 365.19, 364.98, 364.98, 364.98
04/16/21, 368.50, 365.19, 365.19, 365.19
04/15/21, 371.78, 368.50, 368.50, 368.50
04/14/21, 361.26, 371.78, 371.78, 371.78
04/13/21, 360.91, 361.26, 361.26, 361.26
04/12/21, 364.35, 360.91, 360.91, 360.91
04/09/21, 366.17, 364.35, 364.35, 364.35
04/08/21, 371.23, 366.17, 366.17, 366.17
04/07/21, 369.60, 371.23, 371.23, 371.23
04/06/21, 370.57, 369.60, 369.60, 369.60
04/05/21, 379.71, 370.57, 370.57, 370.57
04/01/21, 369.89, 379.71, 379.71, 379.71
03/31/21, 373.35, 369.89, 369.89, 369.89
03/30/21, 376.37, 373.35, 373.35, 373.35
03/29/21, 381.18, 376.37, 376.37, 376.37
03/26/21, 371.44, 381.18, 381.18, 381.18
03/25/21, 370.51, 371.44, 371.44, 371.44
03/24/21, 361.40, 370.51, 370.51, 370.51
03/23/21, 366.39, 361.40, 361.40, 361.40
03/22/21, 370.11, 366.39, 366.39, 366.39
03/19/21, 370.06, 370.11, 370.11, 370.11
03/18/21, 388.23, 370.06, 370.06, 370.06
03/17/21, 384.62, 388.23, 388.23, 388.23
03/16/21, 395.81, 384.62, 384.62, 384.62
03/15/21, 400.82, 395.81, 395.81, 395.81
03/12/21, 400.11, 400.82, 400.82, 400.82
03/11/21, 399.80, 400.11, 400.11, 400.11
03/10/21, 389.54, 399.80, 399.80, 399.80
03/08/21, 396.54, 397.13, 397.13, 397.13
03/05/21, 381.76, 396.54, 396.54, 396.54
03/04/21, 372.55, 381.76, 381.76, 381.76
03/03/21, 367.31, 372.55, 372.55, 372.55
03/02/21, 369.47, 367.31, 367.31, 367.31
03/01/21, 360.19, 369.47, 369.47, 369.47
02/26/21, 368.66, 360.19, 360.19, 360.19
02/25/21, 376.20, 368.66, 368.66, 368.66
02/24/21, 362.97, 376.20, 376.20, 376.20
02/23/21, 357.22, 362.97, 362.97, 362.97
02/22/21, 345.23, 357.22, 357.22, 357.22
02/19/21, 339.66, 345.23, 345.23, 345.23
02/18/21, 347.55, 339.66, 339.66, 339.66
02/17/21, 342.57, 347.55, 347.55, 347.55
02/16/21, 334.99, 342.57, 342.57, 342.57
